#Wellenlänge[µm]    #rrbb[°]    #rrbb[min]  #rbrb[°]    #rbrb[min]
1.06                65          15          89          6
1.29                69          6           85          10
1.45                72          8           84          49
1.72                73          59          82          10
1.96                70          23          78          10
2.156               69          30          75          11
2.34                46          4           50          41
2.51                30          36          34          21
2.65                63          31          68          42
