#Wellenlänge[µm]    #rrbb[°]    #rrbb[min]  #rbrb[°]    #rbrb[min]
1.06                70          36          82          11
1.29                72          25          80          20
1.45                72          15          81          17
1.72                71          16          80          52
1.96                68          17          78          41
2.156               65          59          78          0
2.34                41          35          54          55
2.51                20          5           27          31
2.65                59          55          74          5
