#sumPulses  #Channel    #Druck
33626       1223        0
34203       1081        50
33689       1108        100
33901       1023        150
32941       944         200
32790       926         250
32633       815         300
32961       788         350
31408       715         400
30441       640         450
28929       570         500
24343       439         560
14658       352         600


