#x[cm]  U[V]
5       7,9
6       5,95
7       4,8
8       3,9
9       3,25
10      2,6
11      2,4
12      1,95
13      1,6
14      1,45
15      1,25
16      1,05
17      0,95
18      0,825
19      0,75
20      0,7
25      0,4375
30      0,2775
35      0,1875
40      0,125
45      0,1275
50      0,0975
55      0,0775
60      0,065
65      0,0525
70      0,0475
75      0,04
80      0,035
85      0,03
90      0,025
