#   T1  T2  T3  T4  T5  T6  T7  T8  t
	28.20	28.61	28.48	27.41	27.37	27.83	28.01	27.41	0.0000
	28.21	28.65	28.55	27.43	27.41	28.03	28.04	27.40	2.0000
	28.22	28.92	28.89	27.45	27.47	28.86	28.08	27.40	4.0000
	28.23	29.47	29.57	27.48	27.65	30.15	28.13	27.39	6.0000
	28.27	30.22	30.49	27.53	27.97	31.59	28.24	27.39	8.0000
	28.34	31.10	31.55	27.64	28.42	33.02	28.41	27.39	10.0000
	28.45	32.02	32.65	27.78	28.98	34.40	28.67	27.38	12.0000
	28.61	32.95	33.76	27.99	29.60	35.70	29.01	27.39	14.0000
	28.81	33.86	34.83	28.23	30.26	36.91	29.41	27.39	16.0000
	29.05	34.75	35.87	28.52	30.95	38.03	29.87	27.39	18.0000
	29.31	35.60	36.86	28.85	31.67	39.08	30.38	27.39	20.0000
	29.60	36.41	37.80	29.20	32.39	40.06	30.91	27.40	22.0000
	29.91	37.19	38.68	29.56	33.11	40.98	31.47	27.41	24.0000
	30.25	37.93	39.51	29.96	33.83	41.86	32.04	27.41	26.0000
	30.59	38.63	40.30	30.35	34.55	42.67	32.64	27.42	28.0000
	30.94	39.30	41.03	30.76	35.27	43.46	33.23	27.43	30.0000
	31.30	39.94	41.74	31.17	35.96	44.20	33.83	27.45	32.0000
	31.66	40.54	42.39	31.59	36.66	44.91	34.42	27.46	34.0000
	32.03	41.13	43.01	32.01	37.35	45.59	35.01	27.48	36.0000
	32.40	41.69	43.60	32.42	38.01	46.24	35.59	27.50	38.0000
	32.76	42.22	44.16	32.84	38.67	46.87	36.16	27.53	40.0000
	33.14	42.73	44.69	33.25	39.33	47.47	36.72	27.56	42.0000
	33.50	43.22	45.19	33.65	39.96	48.05	37.27	27.59	44.0000
	33.87	43.68	45.67	34.06	40.58	48.60	37.81	27.63	46.0000
	34.24	44.13	46.13	34.46	41.19	49.15	38.34	27.68	48.0000
	34.60	44.57	46.56	34.86	41.78	49.66	38.84	27.72	50.0000
	34.97	44.98	46.98	35.25	42.36	50.17	39.34	27.77	52.0000
	35.33	45.38	47.37	35.63	42.93	50.65	39.82	27.83	54.0000
	35.69	45.77	47.75	36.01	43.48	51.12	40.30	27.88	56.0000
	36.03	46.14	48.12	36.39	44.02	51.58	40.76	27.94	58.0000
	36.38	46.50	48.47	36.75	44.55	52.02	41.19	28.01	60.0000
	36.72	46.85	48.80	37.12	45.07	52.46	41.63	28.07	62.0000
	37.07	47.19	49.12	37.48	45.57	52.88	42.04	28.15	64.0000
	37.41	47.52	49.42	37.82	46.06	53.28	42.44	28.22	66.0000
	37.75	47.84	49.73	38.17	46.54	53.67	42.83	28.31	68.0000
	38.08	48.15	50.01	38.51	47.01	54.05	43.22	28.39	70.0000
	38.40	48.45	50.29	38.84	47.47	54.42	43.58	28.47	72.0000
	38.73	48.74	50.56	39.17	47.91	54.78	43.95	28.56	74.0000
	39.05	49.03	50.83	39.49	48.35	55.14	44.29	28.65	76.0000
	39.37	49.31	51.08	39.81	48.77	55.48	44.62	28.75	78.0000
	39.68	49.58	51.32	40.12	49.19	55.81	44.95	28.84	80.0000
	39.98	49.85	51.56	40.43	49.59	56.14	45.26	28.94	82.0000
	40.29	50.10	51.79	40.73	49.99	56.45	45.57	29.05	84.0000
	40.59	50.36	52.01	41.03	50.37	56.76	45.87	29.15	86.0000
	40.89	50.61	52.23	41.31	50.74	57.06	46.16	29.26	88.0000
	41.18	50.85	52.44	41.60	51.11	57.35	46.43	29.36	90.0000
	41.47	51.09	52.65	41.89	51.46	57.63	46.71	29.46	92.0000
	41.76	51.32	52.85	42.15	51.82	57.90	46.97	29.57	94.0000
	42.04	51.55	53.04	42.42	52.15	58.17	47.22	29.68	96.0000
	42.31	51.78	53.24	42.69	52.48	58.43	47.47	29.79	98.0000
	42.59	52.00	53.43	42.95	52.81	58.69	47.71	29.90	100.0000
	42.86	52.20	53.59	43.21	53.13	58.84	47.95	30.02	102.0000
	43.13	52.21	53.52	43.46	53.42	58.42	48.18	30.13	104.0000
	43.39	51.96	53.13	43.70	53.60	57.57	48.38	30.25	106.0000
	43.62	51.51	52.51	43.91	53.65	56.56	48.53	30.36	108.0000
	43.83	50.96	51.77	44.08	53.57	55.51	48.61	30.47	110.0000
	43.99	50.34	50.97	44.19	53.40	54.51	48.61	30.59	112.0000
	44.11	49.72	50.17	44.26	53.16	53.56	48.54	30.71	114.0000
	44.18	49.10	49.39	44.27	52.86	52.69	48.41	30.83	116.0000
	44.23	48.50	48.64	44.25	52.52	51.89	48.22	30.94	118.0000
	44.23	47.94	47.94	44.20	52.17	51.15	47.99	31.05	120.0000
	44.21	47.40	47.28	44.12	51.79	50.47	47.71	31.17	122.0000
	44.17	46.89	46.66	44.02	51.41	49.84	47.41	31.28	124.0000
	44.11	46.42	46.08	43.90	51.02	49.25	47.08	31.39	126.0000
	44.04	45.98	45.55	43.76	50.63	48.71	46.74	31.50	128.0000
	43.96	45.57	45.05	43.62	50.23	48.21	46.40	31.60	130.0000
	43.87	45.18	44.59	43.47	49.84	47.73	46.05	31.71	132.0000
	43.77	44.83	44.17	43.32	49.46	47.29	45.69	31.81	134.0000
	43.66	44.49	43.76	43.15	49.08	46.87	45.34	31.92	136.0000
	43.56	44.18	43.40	42.99	48.71	46.48	44.99	32.01	138.0000
	43.45	43.88	43.06	42.82	48.34	46.11	44.65	32.11	140.0000
	43.34	43.61	42.74	42.66	47.98	45.76	44.32	32.19	142.0000
