#Strom[A]   #Spannung[V]    #B-Feld[mT]     #Hall-Spannung[mV]
1           8               320.8           0.126
1.4         11              467.8           0.129
1.8         14.5            606.8           0.131
2.2         17.5            739.0           0.133
2.6         21              878.8           0.136
3           24              1005.1          0.138
3.4         27              1118.7          0.140
3.8         30.5            1210.8          0.142 
